;cell;RNA_transcripts;Protein_abundance;Log_protein_abundance;celltype;nuc_mean_prot_intensity;nuc_tot_prot_intensity
1;1;7;4187.28639384918;3.6;Epidermis;0.054300056052231656;928.3137582689524
2;2;8;2824.51772560365;3.5;Epidermis;0.02516772524047257;414.41176380962133
3;3;5;3747.67069531977;3.6;Epidermis;;
4;4;2;3286.72558507137;3.5;Epidermis;0.04610046815424584;742.4941400922835
5;5;3;2288.66673362441;3.4;Epidermis;;
6;6;7;4489.97660332173;3.7;Epidermis;0.02383524403553688;313.5764705315232
7;7;3;2622.17263234966;3.4;Cortex;0.028082338070763588;412.6980402879417
8;8;1;2455.07459161617;3.4;Cortex;0.010884074607845955;171.67450878955424
9;9;5;4514.58836765774;3.7;Epidermis;0.031486668792534166;972.7176590077579
10;10;6;3342.76872212626;3.5;Epidermis;0.018541653995070805;252.1294110249728
11;11;19;1840.99613793381;3.3;Endodermis;0.03133072952090573;373.1176578644663
12;12;5;1282.1921970211;3.1;Endodermis;0.05150418490888351;485.478446951136
13;13;4;2922.17264351435;3.5;Cortex;0.026346079603239793;486.05882260017097
14;14;4;2966.35694411397;3.5;Epidermis;0;0
15;15;6;712.160806319676;2.9;Pericycle;0.033582421218694085;317.75686957128346
16;16;8;682.494137756526;2.8;Pericycle;0.030128724538553548;330.6627518106252
17;17;8;430.188249574043;2.6;Pericycle;0;0
18;18;2;1488.18044083565;3.2;Endodermis;0.041488700471531074;510.93334630690515
19;19;4;2458.03929487243;3.4;Cortex;0.017107477845831214;261.84705590829253
20;20;4;2007.98829522729;3.3;Endodermis;0.0490800823102928;668.3725609015673
21;21;7;4432.11385412328;3.6;Epidermis;0.028143021857451576;148.79215656034648
22;22;1;565.133353402838;2.8;Pericycle;0;0
23;23;0;328.521578866988;2.5;Xylem;0.025922838629558985;640.2941141501069
24;24;1;228.560791322961;2.4;Procambium;0;0
25;25;1;601.058842325583;2.8;Pericycle;;
26;26;2;112.235297905281;2.1;Procambium;;
27;27;2;304.525499839336;2.5;Procambium;;
28;28;4;3506.72166941315;3.5;Epidermis;;
29;29;2;241.937262306921;2.4;Phloem;0.03260267023543193;100.09019762277603
30;30;4;466.631387939677;2.7;Xylem;;
31;31;2;411.156874736771;2.6;Procambium;0.0519392867799102;315.0117743201554
32;32;2;133.094121600501;2.1;Procambium;;
33;33;1;661.745118996128;2.8;Pericycle;0.025702455038767245;139.84705786593258
34;34;5;344.019618937746;2.5;Phloem;0.05436246577468326;151.3451047167182
35;35;2;800.478453611955;2.9;Pericycle;0.05391385431650303;445.2745227999985
36;36;1;288.823537830263;2.5;Phloem;0.04271515047707457;142.07059048675
37;37;1;197.517653593794;2.3;Procambium;0;0
38;38;8;292.549028348178;2.5;Phloem;0;0
39;39;4;3521.86677575484;3.5;Cortex;0.05446354287171717;1120.4784674998373
40;40;3;193.262752098963;2.3;Phloem;0;0
41;41;2;298.717656092718;2.5;Procambium;0.027198312510361967;132.97254986315966
42;42;2;166.690201517195;2.2;Procambium;0;0
43;43;3;354.811775591224;2.5;Xylem;0;0
44;44;0;827.901985570788;2.9;Pericycle;0.06201308645892411;532.8784519415349
45;45;1;3627.76873287;3.6;Epidermis;0.021585738641982013;541.6941112205386
46;46;2;5022.14916635118;3.7;Epidermis;0.023612724973008238;506.8235288206488
47;47;1;228.839222878218;2.4;Procambium;0.03683126202059872;124.78431572578847
48;48;2;1549.12161981873;3.2;Endodermis;0.041889875024088224;477.9215841498226
49;49;0;194.717653062195;2.3;Phloem;0.04562782899906429;94.90588431805372
50;50;2;385.223541362211;2.6;Phloem;0.0338466072556345;166.79608055576682
51;51;0;364.725501487032;2.6;Procambium;0.05230397174790531;212.7725570704788
52;52;1;1197.14905380271;3.1;Endodermis;0.0323397859628762;416.9568604193628
53;53;2;350.31765868701;2.5;Procambium;0;0
54;54;5;751.901982717216;2.9;Pericycle;0.04416813021521259;367.12549834884703
55;55;3;546.584331216291;2.7;Xylem;0;0
56;56;0;174.843142885715;2.2;Procambium;0;0
57;57;0;1009.58434445597;3;Pericycle;0.03617716602279562;352.3294198960066
58;58;0;381.41569847241;2.6;Phloem;0.03799614202311243;192.67843619920313
59;59;5;2319.66281888448;3.4;Cortex;0.01840941760008208;286.0823495052755
60;60;0;427.400012111291;2.6;Procambium;0.031339510958312236;111.59999852254987
61;61;1;172.50196729973;2.2;Procambium;0;0
62;62;2;279.466675657779;2.4;Procambium;0;0
63;63;3;500.439229574054;2.7;Xylem;0;0
64;64;4;457.125501576811;2.7;Procambium;0;0
65;65;4;781.921593915671;2.9;Pericycle;0.029816933906289752;260.6000023409724
66;66;2;710.039238698781;2.9;Pericycle;0;0
67;67;2;2305.4588945955;3.4;Epidermis;0;0
68;68;12;5363.76486460585;3.7;Epidermis;0.031752461587364784;733.1960905138403
69;69;2;2040.97653518617;3.3;Endodermis;0.03702290257025368;592.3294182214886
70;70;2;549.764721393585;2.7;Pericycle;0;0
71;71;2;1061.94513000734;3;Pericycle;0.04044559135212811;595.1568767465651
72;72;0;2774.10597068351;3.4;Cortex;0.03957900237557426;513.9333458468318
73;73;1;1808.75299858488;3.3;Endodermis;0.058689517782134604;589.066689979285
74;74;4;3150.44322896004;3.5;Epidermis;0;0
75;75;2;1993.76476997696;3.3;Cortex;0.009572107826617009;113.02744921669364
76;76;17;3674.6628583502;3.6;Epidermis;0.01853347713877855;434.85097410716116
77;77;1;2968.49028033391;3.5;Epidermis;0;0
78;78;9;5028.80014366284;3.7;Epidermis;0.037513492703195234;748.9568818192929
79;79;4;3297.98048602045;3.5;Epidermis;0;0
80;80;6;4115.07462741435;3.6;Epidermis;0;0
